generated_question,generated_answer,doc_id,law_title
Các loại hình cơ sở giáo dục mầm non được quy định như thế nào trong Luật Giáo Dục?,"Cơ sở giáo dục mầm non bao gồm: 1. Nhà trẻ, nhóm trẻ độc lập nhận trẻ em từ 03 tháng tuổi đến 03 tuổi; 2. Trường mẫu giáo, lớp mẫu giáo độc lập nhận trẻ em từ 03 tuổi đến 06 tuổi; 3. Trường mầm non, lớp mầm non độc lập là cơ sở giáo dục kết hợp nhà trẻ và mẫu giáo, nhận trẻ em từ 03 tháng tuổi đến 06 tuổi.",a0fcdc5b,Luật Giáo Dục
"Nếu tôi là công dân Việt Nam kết hôn với người nước ngoài và muốn ly hôn, tôi cần làm thủ tục ở đâu?","Việc ly hôn giữa công dân Việt Nam với người nước ngoài, giữa người nước ngoài với nhau thường trú ở Việt Nam được giải quyết tại cơ quan có thẩm quyền của Việt Nam theo quy định của Luật Hôn Nhân Và Gia Đình.",a2a23d08,Luật Hôn Nhân Và Gia Đình
"Khi nào cô, dì, chú, cậu, bác ruột có nghĩa vụ cấp dưỡng cho cháu ruột?","Cô, dì, chú, cậu, bác ruột không sống chung với cháu ruột có nghĩa vụ cấp dưỡng cho cháu trong trường hợp cháu chưa thành niên hoặc cháu đã thành niên không có khả năng lao động và không có tài sản để tự nuôi mình mà không có người khác cấp dưỡng theo quy định của Luật Hôn Nhân Và Gia Đình.",36501b98,Luật Hôn Nhân Và Gia Đình
"Tại nơi có cả biển báo hiệu cố định và báo hiệu tạm thời, người tham gia giao thông phải tuân theo hiệu lệnh nào?",Tại nơi có biển báo hiệu cố định lại có báo hiệu tạm thời thì người tham gia giao thông phải chấp hành hiệu lệnh của báo hiệu tạm thời.,4d5249af,Luật Giao Thông Đường Bộ
Khi nào tôi được phép vượt xe bên phải thay vì bên trái?,Bạn được phép vượt xe bên phải trong các trường hợp sau: 1) Khi xe phía trước có tín hiệu rẽ trái hoặc đang rẽ trái; 2) Khi xe điện đang chạy giữa đường; 3) Khi xe chuyên dùng đang làm việc trên đường mà không thể vượt bên trái được.,7d030583,Luật Giao Thông Đường Bộ
Vợ chồng có thể chấm dứt hiệu lực của việc chia tài sản chung trong thời kỳ hôn nhân không?,"Sau khi chia tài sản chung trong thời kỳ hôn nhân, vợ chồng có quyền thỏa thuận chấm dứt hiệu lực của việc chia tài sản chung. Hình thức của thỏa thuận được thực hiện theo quy định tại khoản 2 Điều 38 của Luật Hôn Nhân Và Gia Đình.",2b6300b7,Luật Hôn Nhân Và Gia Đình
Quyền và nghĩa vụ về nhân thân của vợ chồng được bảo vệ như thế nào theo Luật Hôn Nhân và Gia Đình?,"Quyền, nghĩa vụ về nhân thân của vợ, chồng quy định tại Luật Hôn Nhân và Gia Đình, Bộ luật dân sự và các luật khác có liên quan được tôn trọng và bảo vệ.",64eda91d,Luật Hôn Nhân Và Gia Đình
Chương trình giáo dục mầm non cần đáp ứng những yêu cầu gì theo Luật Giáo Dục?,"Chương trình giáo dục mầm non phải bảo đảm các yêu cầu sau: thể hiện mục tiêu giáo dục mầm non; quy định yêu cầu cần đạt ở mỗi độ tuổi, các hoạt động giáo dục, phương pháp, hình thức tổ chức hoạt động giáo dục, môi trường giáo dục, đánh giá sự phát triển của trẻ em; thống nhất trong cả nước và được tổ chức thực hiện linh hoạt, phù hợp với điều kiện cụ thể của địa phương và cơ sở giáo dục mầm non.",7bbe02ec,Luật Giáo Dục
"Người lái xe khách có được phép chở hành khách trên mui xe hoặc để hành khách đu, bám bên ngoài xe không?","Không, người lái xe khách không được phép chở hành khách trên mui, trong khoang chở hành lý hoặc để hành khách đu, bám bên ngoài xe.",55ac7fd3,Luật Giao Thông Đường Bộ
Nghĩa vụ cấp dưỡng được thực hiện giữa những ai theo Luật Hôn Nhân và Gia Đình?,"Nghĩa vụ cấp dưỡng được thực hiện giữa cha, mẹ và con; giữa anh, chị, em với nhau; giữa ông bà nội, ông bà ngoại và cháu; giữa cô, dì, chú, cậu, bác ruột và cháu ruột; giữa vợ và chồng theo quy định của Luật Hôn Nhân và Gia Đình.",edaf687b,Luật Hôn Nhân Và Gia Đình
Trong trường hợp nào việc chia tài sản chung trong thời kỳ hôn nhân bị coi là vô hiệu?,"Việc chia tài sản chung trong thời kỳ hôn nhân bị vô hiệu khi thuộc một trong các trường hợp sau: 1. Ảnh hưởng nghiêm trọng đến lợi ích của gia đình; quyền, lợi ích hợp pháp của con chưa thành niên, con đã thành niên mất năng lực hành vi dân sự hoặc không có khả năng lao động và không có tài sản để tự nuôi mình; 2. Nhằm trốn tránh thực hiện các nghĩa vụ như nuôi dưỡng, cấp dưỡng, bồi thường thiệt hại, thanh toán khi bị Tòa án tuyên bố phá sản, trả nợ cho cá nhân, tổ chức, nộp thuế hoặc nghĩa vụ tài chính khác đối với Nhà nước, và các nghĩa vụ khác về tài sản theo quy định của Luật Hôn Nhân Và Gia Đình, Bộ luật dân sự và quy định khác của pháp luật có liên quan.",b74bd375,Luật Hôn Nhân Và Gia Đình
"Khi dừng xe, đỗ xe trên đường phố, tôi cần tuân thủ những quy định gì về vị trí đỗ xe?","Khi dừng xe, đỗ xe trên đường phố, bạn phải cho xe dừng, đỗ sát theo lề đường, hè phố phía bên phải theo chiều đi của mình. Bánh xe gần nhất không được cách xa lề đường, hè phố quá 0,25 mét và không được gây cản trở, nguy hiểm cho giao thông. Trường hợp đường phố hẹp, bạn phải dừng xe, đỗ xe ở vị trí cách xe ô tô đang đỗ bên kia đường tối thiểu 20 mét.",0367a752,Luật Giao Thông Đường Bộ
Các thành viên trong gia đình có nghĩa vụ gì khi sống chung?,"Khi sống chung, các thành viên gia đình có nghĩa vụ tham gia công việc gia đình, lao động tạo thu nhập; đóng góp công sức, tiền hoặc tài sản khác để duy trì đời sống chung của gia đình phù hợp với khả năng thực tế của mình.",2e530947,Luật Hôn Nhân Và Gia Đình
"Nếu một người không thể tự quản lý tài sản riêng của mình trong hôn nhân, ai có quyền quản lý tài sản đó?",Trong trường hợp vợ hoặc chồng không thể tự mình quản lý tài sản riêng và cũng không ủy quyền cho người khác quản lý thì bên kia có quyền quản lý tài sản đó. Việc quản lý tài sản phải bảo đảm lợi ích của người có tài sản.,8ce1ad4f,Luật Hôn Nhân Và Gia Đình
"Ông bà nội, ông bà ngoại có nghĩa vụ cấp dưỡng cho cháu trong trường hợp nào?","Ông bà nội, ông bà ngoại không sống chung với cháu có nghĩa vụ cấp dưỡng cho cháu trong trường hợp cháu chưa thành niên hoặc cháu đã thành niên không có khả năng lao động, không có tài sản để tự nuôi mình và không có người cấp dưỡng theo quy định tại Điều 112 của Luật Hôn Nhân Và Gia Đình.",30000d3a,Luật Hôn Nhân Và Gia Đình
"Nếu nam và nữ chung sống với nhau như vợ chồng mà không đăng ký kết hôn, quyền và nghĩa vụ của họ đối với con cái được quy định như thế nào?","Quyền, nghĩa vụ giữa nam, nữ chung sống với nhau như vợ chồng và con được giải quyết theo quy định của Luật Hôn Nhân Và Gia Đình về quyền, nghĩa vụ của cha mẹ và con.",ddb4c799,Luật Hôn Nhân Và Gia Đình
"Khi muốn chuyển hướng xe, người điều khiển phương tiện cần tuân thủ những quy định gì?","Khi muốn chuyển hướng, người điều khiển phương tiện phải giảm tốc độ và có tín hiệu báo hướng rẽ. Trong khi chuyển hướng, người lái xe phải nhường quyền đi trước cho người đi bộ, người đi xe đạp đang đi trên phần đường dành riêng cho họ, nhường đường cho các xe đi ngược chiều và chỉ cho xe chuyển hướng khi quan sát thấy không gây trở ngại hoặc nguy hiểm cho người và phương tiện khác.",4fde6f0d,Luật Giao Thông Đường Bộ
