law_content,generated_question,rag_answer_llm,generated_answer,document
"Cơ sở giáo dục mầm non bao gồm: 1. Nhà trẻ, nhóm trẻ độc lập nhận trẻ em từ 03 tháng tuổi đến 03 tuổi; 2. Trường mẫu giáo, lớp mẫu giáo độc lập nhận trẻ em từ 03 tuổi đến 06 tuổi; 3. Trường mầm non, lớp mầm non độc lập là cơ sở giáo dục kết hợp nhà trẻ và mẫu giáo, nhận trẻ em từ 03 tháng tuổi đến 06 tuổi. ",Các loại hình cơ sở giáo dục mầm non được quy định như thế nào trong Luật Giáo Dục?,"Các loại viện giáo dục được quy định là: các viện mầm non, tổ chức giáo dục mầm non, mẫu giáo, mẫu giáo, mẫu giáo.","Cơ sở giáo dục mầm non bao gồm: 1. Nhà trẻ, nhóm trẻ độc lập nhận trẻ em từ 03 tháng tuổi đến 03 tuổi; 2. Trường mẫu giáo, lớp mẫu giáo độc lập nhận trẻ em từ 03 tuổi đến 06 tuổi; 3. Trường mầm non, lớp mầm non độc lập là cơ sở giáo dục kết hợp nhà trẻ và mẫu giáo, nhận trẻ em từ 03 tháng tuổi đến 06 tuổi.",a0fcdc5b
"1. Việc ly hôn giữa công dân Việt Nam với người nước ngoài, giữa người nước ngoài với nhau thường trú ở Việt Nam được giải quyết tại cơ quan có thẩm quyền của Việt Nam theo quy định của Luật này. 2. Trong trường hợp bên là công dân Việt Nam không thường trú ở Việt Nam vào thời điểm yêu cầu ly hôn thì việc ly hôn được giải quyết theo pháp luật của nước nơi thường trú chung của vợ chồng; nếu họ không có nơi thường trú chung thì giải quyết theo pháp luật Việt Nam. 3. Việc giải quyết tài sản là bất động sản ở nước ngoài khi ly hôn tuân theo pháp luật của nước nơi có bất động sản đó. ","Nếu tôi là công dân Việt Nam kết hôn với người nước ngoài và muốn ly hôn, tôi cần làm thủ tục ở đâu?",Bạn phải thực hiện các thủ tục như được chỉ ra trong luật và tuân thủ luật pháp.,"Việc ly hôn giữa công dân Việt Nam với người nước ngoài, giữa người nước ngoài với nhau thường trú ở Việt Nam được giải quyết tại cơ quan có thẩm quyền của Việt Nam theo quy định của Luật Hôn Nhân Và Gia Đình.",a2a23d08
"1. Cô, dì, chú, cậu, bác ruột không sống chung với cháu ruột có nghĩa vụ cấp dưỡng cho cháu trong trường hợp cháu chưa thành niên hoặc cháu đã thành niên không có khả năng lao động và không có tài sản để tự nuôi mình mà không có người khác cấp dưỡng theo quy định của Luật này. 2. Cháu đã thành niên không sống chung với cô, dì, chú, cậu, bác ruột có nghĩa vụ cấp dưỡng cho cô, dì, chú, cậu, bác ruột trong trường hợp người cần được cấp dưỡng không có khả năng lao động và không có tài sản để tự nuôi mình mà không có người khác cấp dưỡng theo quy định của Luật này. ","Khi nào cô, dì, chú, cậu, bác ruột có nghĩa vụ cấp dưỡng cho cháu ruột?","Nếu một người không sống với dì, chú, chú, chú, chú và chú trong trường hợp người đó phải được hỗ trợ không có khả năng làm việc.","Cô, dì, chú, cậu, bác ruột không sống chung với cháu ruột có nghĩa vụ cấp dưỡng cho cháu trong trường hợp cháu chưa thành niên hoặc cháu đã thành niên không có khả năng lao động và không có tài sản để tự nuôi mình mà không có người khác cấp dưỡng theo quy định của Luật Hôn Nhân Và Gia Đình.",36501b98
"1. Người tham gia giao thông phải chấp hành hiệu lệnh và chỉ dẫn của hệ thống báo hiệu đường bộ. 2. Khi có người điều khiển giao thông thì người tham gia giao thông phải chấp hành hiệu lệnh của người điều khiển giao thông. 3. Tại nơi có biển báo hiệu cố định lại có báo hiệu tạm thời thì người tham gia giao thông phải chấp hành hiệu lệnh của báo hiệu tạm thời. 4. Tại nơi có vạch kẻ đường dành cho người đi bộ, người điều khiển phương tiện phải quan sát, giảm tốc độ và nhường đường cho người đi bộ, xe lăn của người khuyết tật qua đường. Những nơi không có vạch kẻ đường cho người đi bộ, người điều khiển phương tiện phải quan sát, nếu thấy người đi bộ, xe lăn của người khuyết tật đang qua đường thì phải giảm tốc độ, nhường đường cho người đi bộ, xe lăn của người khuyết tật qua đường bảo đảm an toàn. ","Tại nơi có cả biển báo hiệu cố định và báo hiệu tạm thời, người tham gia giao thông phải tuân theo hiệu lệnh nào?",Ở nơi có một báo cáo đường;Những người tham gia giao thông phải tuân theo tín hiệu của tín hiệu tạm thời;Đọc: Khi có một nhà điều hành giao thông;Người tham gia giao thông phải tuân theo lệnh của người lái xe giao thông;Ở những nơi không có thương hiệu trên đường;Người vận hành phải quan sát;giảm tốc độ và nhường chỗ cho người đi bộ;Ghế lăn của người khuyết tật trên đường phố là an toàn.,Tại nơi có biển báo hiệu cố định lại có báo hiệu tạm thời thì người tham gia giao thông phải chấp hành hiệu lệnh của báo hiệu tạm thời.,4d5249af
"1. Xe xin vượt phải có báo hiệu bằng đèn hoặc còi; trong đô thị và khu đông dân cư từ 22 giờ đến 5 giờ chỉ được báo hiệu xin vượt bằng đèn. 2. Xe xin vượt chỉ được vượt khi không có chướng ngại vật phía trước, không có xe chạy ngược chiều trong đoạn đường định vượt, xe chạy trước không có tín hiệu vượt xe khác và đã tránh về bên phải. 3. Khi có xe xin vượt, nếu đủ điều kiện an toàn, người điều khiển phương tiện phía trước phải giảm tốc độ, đi sát về bên phải của phần đường xe chạy cho đến khi xe sau đã vượt qua, không được gây trở ngại đối với xe xin vượt. 4. Khi vượt, các xe phải vượt về bên trái, trừ các trường hợp sau đây thì được phép vượt bên phải: a) Khi xe phía trước có tín hiệu rẽ trái hoặc đang rẽ trái; b) Khi xe điện đang chạy giữa đường; c) Khi xe chuyên dùng đang làm việc trên đường mà không thể vượt bên trái được. 5. Không được vượt xe khi có một trong các trường hợp sau đây: a) Không bảo đảm các điều kiện quy định tại khoản 2 Điều này; b) Trên cầu hẹp có một làn xe; c) Đường vòng, đầu dốc và các vị trí có tầm nhìn hạn chế; d) Nơi đường giao nhau, đường bộ giao nhau cùng mức với đường sắt; đ) Khi điều kiện thời tiết hoặc đường không bảo đảm an toàn cho việc vượt; e) Xe được quyền ưu tiên đang phát tín hiệu ưu tiên đi làm nhiệm vụ. ",Khi nào tôi được phép vượt xe bên phải thay vì bên trái?,Tôi không đủ thông tin để trả lời câu hỏi này.,Bạn được phép vượt xe bên phải trong các trường hợp sau: 1) Khi xe phía trước có tín hiệu rẽ trái hoặc đang rẽ trái; 2) Khi xe điện đang chạy giữa đường; 3) Khi xe chuyên dùng đang làm việc trên đường mà không thể vượt bên trái được.,7d030583
"1. Sau khi chia tài sản chung trong thời kỳ hôn nhân, vợ chồng có quyền thỏa thuận chấm dứt hiệu lực của việc chia tài sản chung. Hình thức của thỏa thuận được thực hiện theo quy định tại khoản 2 Điều 38 của Luật này. 2. Kể từ ngày thỏa thuận của vợ chồng quy định tại khoản 1 Điều này có hiệu lực thì việc xác định tài sản chung, tài sản riêng của vợ chồng được thực hiện theo quy định tại Điều 33 và Điều 43 của Luật này. Phần tài sản mà vợ, chồng đã được chia vẫn thuộc sở hữu riêng của vợ, chồng, trừ trường hợp vợ chồng có thỏa thuận khác. 3. Quyền, nghĩa vụ về tài sản phát sinh trước thời điểm chấm dứt hiệu lực của việc chia tài sản chung vẫn có hiệu lực, trừ trường hợp các bên có thỏa thuận khác. 4. Trong trường hợp việc chia tài sản chung trong thời kỳ hôn nhân được thực hiện theo bản án, quyết định có hiệu lực của Tòa án thì thỏa thuận chấm dứt hiệu lực của việc chia tài sản chung phải được Tòa án công nhận. ",Vợ chồng có thể chấm dứt hiệu lực của việc chia tài sản chung trong thời kỳ hôn nhân không?,"Có, nếu vợ chồng không đồng ý về các bộ phận của tài sản chung, thời gian phân chia tài sản chung có hiệu lực có giá trị pháp lý và các quyền và nghĩa vụ sở hữu giữa vợ và vợ và người thứ ba phát sinh trước khi chia thuật ngữ.","Sau khi chia tài sản chung trong thời kỳ hôn nhân, vợ chồng có quyền thỏa thuận chấm dứt hiệu lực của việc chia tài sản chung. Hình thức của thỏa thuận được thực hiện theo quy định tại khoản 2 Điều 38 của Luật Hôn Nhân Và Gia Đình.",2b6300b7
"Quyền, nghĩa vụ về nhân thân của vợ, chồng quy định tại Luật này, Bộ luật dân sự và các luật khác có liên quan được tôn trọng và bảo vệ. ",Quyền và nghĩa vụ về nhân thân của vợ chồng được bảo vệ như thế nào theo Luật Hôn Nhân và Gia Đình?,"Danh tính của người phối ngẫu được bảo vệ thông qua luật về hôn nhân và gia đình, bao gồm các quyền và nghĩa vụ cụ thể để bảo vệ dữ liệu cá nhân và danh tính của người phối ngẫu.","Quyền, nghĩa vụ về nhân thân của vợ, chồng quy định tại Luật Hôn Nhân và Gia Đình, Bộ luật dân sự và các luật khác có liên quan được tôn trọng và bảo vệ.",64eda91d
"1. Chương trình giáo dục mầm non phải bảo đảm các yêu cầu sau đây: a) Thể hiện mục tiêu giáo dục mầm non; b) Quy định yêu cầu cần đạt ở mỗi độ tuổi, các hoạt động giáo dục, phương pháp, hình thức tổ chức hoạt động giáo dục, môi trường giáo dục, đánh giá sự phát triển của trẻ em; c) Thống nhất trong cả nước và được tổ chức thực hiện linh hoạt, phù hợp với điều kiện cụ thể của địa phương và cơ sở giáo dục mầm non. 2. Hội đồng quốc gia thẩm định chương trình giáo dục mầm non do Bộ trưởng Bộ Giáo dục và Đào tạo thành lập để thẩm định chương trình giáo dục mầm non. Hội đồng gồm nhà giáo, cán bộ quản lý giáo dục, nhà khoa học có kinh nghiệm, uy tín về giáo dục và đại diện cơ quan, tổ chức có liên quan. Hội đồng phải có ít nhất một phần ba tổng số thành viên là nhà giáo đang giảng dạy ở giáo dục mầm non. Hội đồng và thành viên Hội đồng phải chịu trách nhiệm về nội dung và chất lượng thẩm định. 3. Bộ trưởng Bộ Giáo dục và Đào tạo ban hành chương trình giáo dục mầm non sau khi được thẩm định của Hội đồng quốc gia thẩm định chương trình giáo dục mầm non; quy định tiêu chuẩn, quy trình biên soạn, chỉnh sửa chương trình giáo dục mầm non; quy định tiêu chuẩn và việc lựa chọn đồ chơi, học liệu được sử dụng trong các cơ sở giáo dục mầm non; quy định nhiệm vụ, quyền hạn, phương thức hoạt động, tiêu chuẩn, số lượng và cơ cấu thành viên của Hội đồng quốc gia thẩm định chương trình giáo dục mầm non. ",Chương trình giáo dục mầm non cần đáp ứng những yêu cầu gì theo Luật Giáo Dục?,"Các yêu cầu cho các chương trình giáo dục mầm non bao gồm giáo dục trẻ phải tạo ra các điều kiện thuận lợi cho trẻ em tích cực hoạt động, vui chơi, tạo ra sự gắn bó giữa người lớn và trẻ em, nhấp vào sự phát triển của các giác quan, cảm xúc và chức năng tâm lý và giáo dục mẫu giáo phải tạo điều kiện cho trẻ em vui chơi.","Chương trình giáo dục mầm non phải bảo đảm các yêu cầu sau: thể hiện mục tiêu giáo dục mầm non; quy định yêu cầu cần đạt ở mỗi độ tuổi, các hoạt động giáo dục, phương pháp, hình thức tổ chức hoạt động giáo dục, môi trường giáo dục, đánh giá sự phát triển của trẻ em; thống nhất trong cả nước và được tổ chức thực hiện linh hoạt, phù hợp với điều kiện cụ thể của địa phương và cơ sở giáo dục mầm non.",7bbe02ec
"1. Người vận tải, người lái xe khách phải chấp hành các quy định sau đây: a) Đón, trả hành khách đúng nơi quy định; b) Không chở hành khách trên mui, trong khoang chở hành lý hoặc để hành khách đu, bám bên ngoài xe; c) Không chở hàng nguy hiểm, hàng có mùi hôi thối hoặc động vật, hàng hóa khác có ảnh hưởng đến sức khỏe của hành khách; d) Không chở hành khách, hành lý, hàng hóa vượt quá trọng tải, số người theo quy định; e) Không để hàng hóa trong khoang chở hành khách; có biện pháp giữ gìn vệ sinh trong xe. 2. Bộ trưởng Bộ Giao thông vận tải quy định về tổ chức và quản lý hoạt động vận tải hành khách bằng xe ô tô. ","Người lái xe khách có được phép chở hành khách trên mui xe hoặc để hành khách đu, bám bên ngoài xe không?","Không, hành khách không thể rời khỏi xe và dính ra khỏi xe.","Không, người lái xe khách không được phép chở hành khách trên mui, trong khoang chở hành lý hoặc để hành khách đu, bám bên ngoài xe.",55ac7fd3
"1. Nghĩa vụ cấp dưỡng được thực hiện giữa cha, mẹ và con; giữa anh, chị, em với nhau; giữa ông bà nội, ông bà ngoại và cháu; giữa cô, dì, chú, cậu, bác ruột và cháu ruột; giữa vợ và chồng theo quy định của Luật này. Nghĩa vụ cấp dưỡng không thể thay thế bằng nghĩa vụ khác và không thể chuyển giao cho người khác. 2. Trong trường hợp người có nghĩa vụ nuôi dưỡng trốn tránh nghĩa vụ thì theo yêu cầu của cá nhân, cơ quan, tổ chức được quy định tại Điều 119 của Luật này, Tòa án buộc người đó phải thực hiện nghĩa vụ cấp dưỡng theo quy định của Luật này. ",Nghĩa vụ cấp dưỡng được thực hiện giữa những ai theo Luật Hôn Nhân và Gia Đình?,"Có, nghĩa vụ điều dưỡng có thể được chuyển cho người khác và không thể được thay thế bởi những người khác.","Nghĩa vụ cấp dưỡng được thực hiện giữa cha, mẹ và con; giữa anh, chị, em với nhau; giữa ông bà nội, ông bà ngoại và cháu; giữa cô, dì, chú, cậu, bác ruột và cháu ruột; giữa vợ và chồng theo quy định của Luật Hôn Nhân và Gia Đình.",edaf687b
